Type,ID,Time
TASK,248_M0,2.007182
TASK,250_M1,4.007427
TASK,247_R0,1.000245
JOB,247,16:32:08
TASK,248_R0,1.000623
JOB,248,16:32:08
TASK,246_R0,2.00263
JOB,246,16:32:09
TASK,244_R0,7.01535
JOB,244,16:32:11
TASK,251_M1,6.008763
TASK,253_M1,2.002745
TASK,253_M2,3.003657
TASK,254_M2,4.005837
TASK,251_R0,2.001573
TASK,257_M0,5.00708
TASK,251_R1,2.005042
JOB,251,16:32:16
TASK,253_R0,3.005663
TASK,259_M0,1.001635
TASK,253_R1,3.504401
JOB,253,16:32:19
TASK,259_M2,4.004692
TASK,260_M0,4.00567
TASK,261_M1,5.006398
TASK,261_M2,4.00753
TASK,263_M0,4.007828
TASK,264_M0,4.007958
TASK,261_R0,1.152111
JOB,261,16:32:27
TASK,260_R0,2.153609
TASK,258_R0,7.163303
JOB,258,16:32:29
TASK,267_M0,2.002574
TASK,262_R1,3.004058
JOB,262,16:32:31
TASK,269_M2,3.003794
TASK,262_R0,6.159601
TASK,270_M0,2.003368
TASK,265_R0,5.007026
TASK,267_R0,2.001837
TASK,273_M0,4.005249
TASK,267_R1,2.002957
JOB,267,16:32:35
TASK,274_M0,4.005614
TASK,276_M0,2.002752
TASK,275_M1,4.005008
TASK,277_M0,4.005719
TASK,274_R0,3.004268
JOB,274,16:32:40
TASK,277_M1,4.140198
TASK,281_M0,6.242625
TASK,275_R0,2.10259
JOB,275,16:32:43
TASK,283_M0,2.102596
TASK,285_M0,4.105094
TASK,280_R1,2.003245
JOB,280,16:32:47
TASK,281_R0,2.003736
TASK,287_M0,2.002963
TASK,277_R0,7.093088
TASK,281_R1,3.005349
JOB,281,16:32:48
TASK,288_M0,4.020443
TASK,288_M2,3.025911
TASK,288_M1,4.028307
TASK,290_M1,5.029637
TASK,290_M2,4.031294
TASK,292_M2,5.008409
TASK,292_M3,3.007072
TASK,290_R0,2.002871
JOB,290,16:32:57
TASK,288_R0,3.005563
TASK,294_M0,4.008806
TASK,296_M2,4.000872
TASK,292_R0,2.991856
TASK,300_M1,2.996973
TASK,292_R1,4.005928
JOB,292,16:33:02
TASK,294_R0,2.00384
TASK,300_R0,2.20873
TASK,303_M3,4.206951
TASK,304_M0,3.214196
TASK,301_R0,2.003557
JOB,301,16:33:05
TASK,300_R1,5.215119
JOB,300,16:33:07
TASK,307_M2,1.001962
TASK,308_M1,2.003515
TASK,302_R1,8.012354
JOB,302,16:33:11
TASK,305_M1,3.004879
TASK,303_R0,5.006969
JOB,303,16:33:12
TASK,313_M0,1.001645
TASK,305_R0,2.003474
JOB,305,16:33:14
TASK,310_M0,5.995028
TASK,312_M0,4.005706
TASK,315_M0,2.001864
TASK,313_M2,6.263283
TASK,309_R1,5.26577
JOB,309,16:33:19
TASK,317_M2,1.001137
TASK,318_M0,2.002463
TASK,312_R0,3.003161
TASK,312_R1,3.003459
JOB,312,16:33:22
TASK,310_R0,8.271287
JOB,310,16:33:23
TASK,318_M1,5.00658
TASK,323_M1,1.002348
TASK,321_M0,3.006045
TASK,318_M2,8.012482
TASK,320_M0,4.007453
TASK,324_M1,5.007281
TASK,326_M0,5.004049
TASK,318_R1,1.00184
JOB,318,16:33:32
TASK,330_M0,4.986269
TASK,319_R1,2.003637
JOB,319,16:33:33
TASK,320_R0,2.003248
JOB,320,16:33:33
TASK,318_R0,4.006213
TASK,324_R0,4.143324
TASK,327_R0,1.139909
TASK,326_R1,4.474192
JOB,326,16:33:40
TASK,327_R1,4.4745
JOB,327,16:33:40
TASK,330_R1,5.545494
JOB,330,16:33:41
TASK,332_M2,1.000342
TASK,337_M0,3.002769
TASK,332_M1,8.410701
TASK,336_M0,4.006054
TASK,338_M0,3.992008
TASK,340_M0,3.012855
TASK,332_R0,1.001001
TASK,333_R0,1.001655
JOB,333,16:33:47
TASK,332_R1,3.004142
JOB,332,16:33:49
TASK,342_M0,5.890958
TASK,336_R0,3.001628
TASK,334_R1,4.600202
JOB,334,16:33:51
TASK,336_R1,4.00532
JOB,336,16:33:52
TASK,343_M0,3.004211
TASK,340_R1,6.005221
JOB,340,16:33:55
TASK,343_M1,4.005958
TASK,346_M0,1.001598
TASK,347_M2,2.003337
TASK,345_M2,6.009382
TASK,343_R0,4.006491
JOB,343,16:33:59
TASK,350_M0,3.004845
TASK,349_M1,4.005547
TASK,351_M2,4.997485
TASK,345_R0,4.00649
JOB,345,16:34:01
TASK,354_M1,1.998807
TASK,349_R0,1.998692
JOB,349,16:34:02
TASK,354_M2,4.006045
TASK,355_M2,2.002724
TASK,351_R0,4.000703
JOB,351,16:34:05
TASK,355_M3,4.011794
TASK,356_M1,4.011527
TASK,359_M2,2.007009
TASK,360_M0,1.997884
TASK,359_M1,4.015242
TASK,355_R1,2.003061
JOB,355,16:34:09
TASK,361_M0,2.876891
TASK,358_R1,2.002999
JOB,358,16:34:10
TASK,355_R0,5.000762
TASK,361_M1,4.028139
TASK,364_M1,2.023973
TASK,364_M2,1.02304
TASK,361_M3,4.019346
TASK,365_M1,2.961823
TASK,368_M0,1.001501
TASK,368_M1,3.003699
TASK,368_M3,2.681855
TASK,367_M0,4.94317
TASK,361_R1,3.002159
JOB,361,16:34:17
TASK,362_R0,3.003634
TASK,369_M3,1.001381
TASK,373_M3,1.001846
TASK,369_M2,5.021234
TASK,371_M1,4.020637
TASK,373_M2,3.019244
TASK,372_M0,4.040079
TASK,374_M1,2.730229
TASK,369_R1,2.01672
JOB,369,16:34:24
TASK,375_M1,2.016973
TASK,369_R0,3.770835
TASK,376_M3,1.751699
TASK,376_M0,4.756291
TASK,372_R0,4.021685
JOB,372,16:34:27
TASK,378_M1,2.001414
TASK,379_M0,1.000929
TASK,373_R0,6.011344
TASK,375_R1,3.003806
JOB,375,16:34:31
TASK,382_M0,1.76659
